Model,Mileage,City,Year,Dealer,Price
Mustang Mach-E,"12,520 Miles",Santa Monica,2021,Santa Monica Ford,"$42,675"
Explorer,"37,070 Miles",Fontana,2020,Fontana Chrysler Dodge Jeep Ram,"$29,981"
Transit Connect,"129,933 Miles",North Hollywood,2016,Car Search USA,"$15,985"
F-150,"49,109 Miles",Westminster,2017,OC Autohaus,"$53,888"
Fusion Hybrid,"68,791 Miles",Norco,2018,Aaron Chrysler Dodge Jeep Ram,"$17,814"
Fusion Hybrid,"180,873 Miles",Panorama City,2010,Happy Auto Group,"$8,999"
Transit,"22,439 Miles",Los Angeles,2021,Ford Of Downtown LA,"$40,995"
Bronco,"10,276 Miles",Los Angeles,2022,Ford Of Downtown LA,"$63,578"
Fusion,"73,174 Miles",Los Angeles,2016,Auto Auction Group Inc,"$10,995"
Fusion Hybrid,"59,953 Miles",Anaheim,2020,Anaheim Hyundai,"$19,700"
Bronco,New,Riverside,2023,Raceway Ford,"$52,110"
Explorer,"115,552 Miles",Bellflower,2015,KarGenie Bellflower,"$15,877"
Mustang,"38,469 Miles",Ontario,2019,CarMax Ontario - Now Offering Express Pickup And Home Delivery,"$26,998"
Transit Connect,"77,754 Miles",Huntington Beach,2018,Car Plus Finance,"$22,995"
Ranger,"55,347 Miles",Huntington Beach,2019,Huntington Beach Hyundai,"$29,883"
C-MAX Hybrid,"131,105 Miles",Brea,2014,Big Lot Auto Sales,"$8,250"
Expedition MAX,"41,088 Miles",Anaheim,2021,Anaheim Hyundai,"$49,052"
Ranger,New,Los Angeles,2023,Ford Of Downtown LA,"$36,988"
Edge,"87,211 Miles",Covina,2016,Preferred Motor Cars,"$16,950"
Explorer,"22,201 Miles",Santa Monica,2020,Santa Monica Ford,"$33,695"
F-150,"64,984 Miles",Orange,2019,Auto Republic Orange,"$22,981"
Transit,"29,470 Miles",Los Angeles,2021,Ford Of Downtown LA,"$42,485"
Explorer,"131,077 Miles",Colton,2012,Meza Auto Sales,"$17,999"
Deluxe,"92,723 Miles",Torrance,1937,West Coast Classics,"$49,500"
Focus,"40,949 Miles",Panorama City,2012,"Socal Auto Mart, Inc.","$8,800"
F-150,New,Los Angeles,2023,Ford Of Downtown LA,"$46,895"
F-250 Super Duty,"179,473 Miles",Stanton,2006,Premium Finance,"$17,950"
E-Transit,New,Riverside,2023,Raceway Ford,"$56,065"
GT,"2,804 Miles",Ventura,2005,Crown Dodge Chrysler Jeep,"$550,000"
Edge,"8,704 Miles",Ventura,2022,Crown Dodge Chrysler Jeep,"$38,615"
F-150,"56,219 Miles",Bloomington,2018,Unique Auto Center,"$29,995"
Fusion,"91,098 Miles",Whittier,2017,Alexander Auto Sales,"$15,995"
F-150,419 Miles,Van Nuys,2022,Van Nuys Alfa Romeo Maserati,"$57,557"
Mustang,"29,336 Miles",Stanton,1995,Premium Finance,"$17,950"
Focus,"99,633 Miles",Rialto,2015,Esquivel Auto Depot,"$10,999"
Transit,"151,767 Miles",Orange,2018,Auto Republic Orange,"$21,981"
F-250 Super Duty,"94,586 Miles",Santa Ana,2018,Sterling Imports LTD,"$31,990"
